,geoid,year,combined_id,total_pop,median_age,nonfamily_households,family_households,high_school_including_ged,graduate_professional_degree,some_college_and_associates_degree,housing_units,occupied_housing_units,median_structure_age,dwellings_under_4_units,dwellings_5_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,walked_to_work,commuters_by_public_transportation,commuters_by_car_truck_van,commute_under_10_mins,commute_10_29_mins,commute_30_59_mins,commute_over_60_mins,income_per_capita,gini_index,poverty,rent_over_50_percent,rent_25_to_50_percent,rent_under_25_percent,median_rent
20,19780,2007,19780.acs,546656.0,35.8,72683.0,143886.0,107729.0,33285.0,102628.0,235178.0,216569.0,45.0,183062.0,22789.0,14743.0,7156.0,5939.0,4803.0,260776.0,77225.0,173219.0,58479.0,13830.0,28698.0,0.429,46617.0,10755.0,18343.0,17089.0,591.0
21,27260,2007,27260.acs,1296676.0,37.0,165029.0,341427.0,272290.0,74071.0,259939.0,583685.0,506456.0,34.0,428917.0,72227.0,17105.0,15334.0,7928.0,6720.0,567367.0,102602.0,302588.0,238589.0,70920.0,27461.0,0.446,138786.0,31233.0,58574.0,34737.0,720.0
22,14260,2007,14260.acs,587025.0,33.5,64288.0,154738.0,105233.0,32559.0,122795.0,236485.0,219026.0,29.0,203425.0,10378.0,3390.0,4239.0,6296.0,1184.0,248570.0,70399.0,156579.0,73159.0,21304.0,25411.0,0.445,59121.0,12500.0,21704.0,17651.0,631.0
23,44700,2007,44700.acs,670990.0,31.8,51094.0,156276.0,120041.0,17341.0,121787.0,226646.0,207370.0,39.0,192668.0,12945.0,5812.0,7053.0,5411.0,3189.0,245331.0,,123759.0,,,22559.0,0.436,92159.0,19974.0,28968.0,14481.0,801.0
24,29460,2007,29460.acs,574746.0,38.1,65913.0,159960.0,147104.0,19642.0,101286.0,277592.0,225873.0,32.0,185104.0,16809.0,3164.0,3311.0,2446.0,1643.0,226007.0,49702.0,123027.0,82535.0,34764.0,21952.0,0.417,71348.0,13343.0,24293.0,15202.0,634.0
25,24340,2007,24340.acs,776742.0,35.0,93405.0,196240.0,153647.0,46167.0,149948.0,318451.0,289645.0,46.0,257866.0,26290.0,6379.0,7910.0,7000.0,4696.0,333079.0,93594.0,208419.0,91284.0,28460.0,23948.0,0.435,99480.0,18272.0,25508.0,18699.0,569.0
26,40900,2007,40900.acs,2091120.0,34.8,257767.0,508449.0,329927.0,134648.0,444738.0,847538.0,766216.0,39.0,679330.0,89393.0,19179.0,32973.0,20573.0,23845.0,845808.0,194421.0,472676.0,323212.0,140998.0,28690.0,0.426,228898.0,70158.0,107281.0,57002.0,866.0
27,47260,2007,47260.acs,1658215.0,35.2,196660.0,427035.0,312779.0,104589.0,334149.0,678451.0,623695.0,41.0,544201.0,81334.0,13776.0,19871.0,21019.0,10341.0,730667.0,164060.0,440270.0,247658.0,74386.0,26662.0,0.418,166083.0,44872.0,85744.0,48370.0,753.0
28,33340,2007,33340.acs,1544398.0,37.5,218721.0,387048.0,310059.0,108335.0,276133.0,655577.0,605769.0,57.0,515210.0,63952.0,38258.0,33530.0,18292.0,26927.0,666860.0,172844.0,413814.0,230287.0,47140.0,27600.0,0.448,192167.0,53474.0,75007.0,56059.0,619.0
29,28420,2007,28420.acs,228992.0,32.7,22673.0,53768.0,44135.0,10069.0,46022.0,85617.0,76441.0,41.0,62308.0,8539.0,2442.0,2879.0,1942.0,2350.0,90260.0,,53595.0,,,23398.0,0.431,27953.0,5809.0,7135.0,5994.0,559.0
