,year,acs_geoid,cbsa_name,epa_site,longitude,latitude
211,2016,12420,"Austin-Round Rock, TX",0020,-97.872301,30.483168
212,2016,35620,"New York-Newark-Jersey City, NY-NJ-PA",0005,-74.168092,40.918381
213,2016,35620,"New York-Newark-Jersey City, NY-NJ-PA",0002,-73.41919,40.74529
214,2016,40140,"Riverside-San Bernardino-Ontario, CA",5001,-116.54101,33.85275
215,2016,40140,"Riverside-San Bernardino-Ontario, CA",0009,-117.088649,33.447866999999995
216,2016,40140,"Riverside-San Bernardino-Ontario, CA",1004,-115.41080000000001,33.9397
217,2016,40140,"Riverside-San Bernardino-Ontario, CA",9004,-117.274063,34.106677999999995
218,2016,40140,"Riverside-San Bernardino-Ontario, CA",1234,-117.37140000000001,35.77417
219,2016,42660,"Seattle-Tacoma-Bellevue, WA",0030,-122.319722,47.597221999999995
220,2016,42660,"Seattle-Tacoma-Bellevue, WA",0034,-122.314444,47.600832999999994
221,2016,42660,"Seattle-Tacoma-Bellevue, WA",0080,-122.308628,47.568236
222,2016,36420,"Oklahoma City, OK",0065,-97.70780099999999,34.877064
223,2016,42660,"Seattle-Tacoma-Bellevue, WA",1018,-122.30030000000001,47.14
224,2016,42660,"Seattle-Tacoma-Bellevue, WA",1010,-122.12429,46.758379999999995
225,2016,36420,"Oklahoma City, OK",0101,-97.751503,35.479214999999996
226,2016,36420,"Oklahoma City, OK",0033,-97.494309,35.477036
227,2016,36420,"Oklahoma City, OK",0035,-97.52709,35.472919999999995
228,2016,36420,"Oklahoma City, OK",1037,-97.475083,35.614131
229,2016,42660,"Seattle-Tacoma-Bellevue, WA",2004,-122.230278,47.386111
230,2016,49620,"York-Hanover, PA",0008,-76.699444,39.965278
231,2016,42660,"Seattle-Tacoma-Bellevue, WA",0029,-122.4517,47.1864
232,2016,42660,"Seattle-Tacoma-Bellevue, WA",1007,-122.17152899999999,48.054314999999995
233,2016,42660,"Seattle-Tacoma-Bellevue, WA",0024,-122.2806,47.755
234,2016,36420,"Oklahoma City, OK",9025,-97.090278,35.4884
235,2016,28300,"Keene, NH",0007,-72.27233199999999,42.930521
236,2016,47300,"Visalia-Porterville, CA",2002,-119.291228,36.332179
237,2016,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",0005,-78.019167,33.942222
238,2016,30860,"Logan, UT-ID",0007,-111.852199,41.842649
239,2016,14020,"Bloomington, IN",0003,-86.504762,39.159383
240,2016,25460,"Harrison, AR",9000,-93.203187,35.825893
241,2016,33740,"Monroe, LA",0004,-92.046196,32.509959
242,2016,33700,"Modesto, CA",0005,-120.994212,37.642165
