,year,acs_geoid,acs_cbsa_name,epa_site,longitude,latitude
0,2008,49620,"York-Hanover, PA",42.133.0008,-76.699444,39.965278
1,2008,17020,"Chico, CA",06.007.0002,-121.843286,39.757371
2,2008,14460,"Boston-Cambridge-Quincy, MA-NH",25.009.4004,-70.80834999999999,42.790268
3,2008,14460,"Boston-Cambridge-Quincy, MA-NH",25.009.2006,-70.970816,42.474641999999996
4,2008,14460,"Boston-Cambridge-Quincy, MA-NH",25.009.6001,-71.164413,42.698215
5,2008,29660,"Laramie, WY",56.001.9991,-106.2399,41.364200000000004
6,2008,14460,"Boston-Cambridge-Quincy, MA-NH",25.021.3003,-71.11397,42.211774
7,2008,18500,"Corning, NY",36.101.0003,-77.20978,42.09142
8,2008,14460,"Boston-Cambridge-Quincy, MA-NH",25.025.0002,-71.097163,42.348873
9,2008,14460,"Boston-Cambridge-Quincy, MA-NH",25.025.0041,-70.96835899999999,42.317372
10,2008,40580,"Rocky Mount, NC",37.065.0004,-77.75007,35.93355
11,2008,14460,"Boston-Cambridge-Quincy, MA-NH",25.017.1102,-71.482775,42.413574
12,2008,14460,"Boston-Cambridge-Quincy, MA-NH",25.017.0009,-71.362068,42.62668
13,2008,14460,"Boston-Cambridge-Quincy, MA-NH",33.015.0016,-70.71395799999999,43.045269
14,2008,42420,"Scottsbluff, NE",31.157.0003,-103.664943,41.864967
15,2008,46180,"Tupelo, MS",28.081.0005,-88.766222,34.264917
16,2008,17020,"Chico, CA",06.007.0007,-121.617309,39.708453999999996
17,2008,14460,"Boston-Cambridge-Quincy, MA-NH",25.025.0043,-71.0543,42.3631
18,2008,14460,"Boston-Cambridge-Quincy, MA-NH",25.025.0042,-71.0826,42.3295
19,2008,14460,"Boston-Cambridge-Quincy, MA-NH",25.025.0020,-71.055573,42.309416999999996
20,2008,10740,"Albuquerque, NM",35.043.1003,-106.650026,35.238098
21,2008,10740,"Albuquerque, NM",35.001.0023,-106.5852,35.1343
22,2008,14460,"Boston-Cambridge-Quincy, MA-NH",33.015.0014,-70.74801699999999,43.075371
23,2008,14460,"Boston-Cambridge-Quincy, MA-NH",25.009.5005,-71.10229,42.770837
24,2008,14460,"Boston-Cambridge-Quincy, MA-NH",25.025.0040,-71.03835,42.340250999999995
25,2008,45220,"Tallahassee, FL",12.129.0001,-84.16111099999999,30.0925
26,2008,29740,"Las Cruces, NM",35.013.0019,-106.674724,32.424813
27,2008,24300,"Grand Junction, CO",08.077.0017,-108.561173,39.063798
28,2008,24300,"Grand Junction, CO",08.077.0018,-108.56155,39.064288999999995
29,2008,47940,"Waterloo-Cedar Falls, IA",19.017.0011,-92.513241,42.743036
30,2008,29740,"Las Cruces, NM",35.013.0017,-106.558044,31.795939999999998
31,2008,45460,"Terre Haute, IN",18.165.0004,-87.435566,39.923645
32,2008,45220,"Tallahassee, FL",12.073.0012,-84.346389,30.439722
33,2008,24300,"Grand Junction, CO",08.077.1001,-108.7411,39.106700000000004
34,2008,21660,"Eugene-Springfield, OR",41.039.0060,-123.083737,44.026312
35,2008,49660,"Youngstown-Warren-Boardman, OH-PA",42.085.9000,-80.145067,41.426911
36,2008,35380,"New Orleans-Metairie-Kenner, LA",22.071.9000,-89.76168299999999,30.108632999999998
37,2008,22140,"Farmington, NM",35.045.0018,-107.652192,36.809734999999996
38,2008,41740,"San Diego-Carlsbad-San Marcos, CA",06.073.1008,-117.396158,33.217025
39,2008,41740,"San Diego-Carlsbad-San Marcos, CA",06.073.1006,-116.768225,32.842242
40,2008,41740,"San Diego-Carlsbad-San Marcos, CA",06.073.0003,-116.942092,32.791194
41,2008,41740,"San Diego-Carlsbad-San Marcos, CA",06.073.1201,-117.09022999999999,33.362593
42,2008,41740,"San Diego-Carlsbad-San Marcos, CA",06.073.0006,-117.12875199999999,32.836461
43,2008,16700,"Charleston-North Charleston-Summerville, SC",45.019.0003,-79.977538,32.882289
44,2008,42020,"San Luis Obispo-Paso Robles, CA",06.079.8001,-120.66803999999999,35.49158
45,2008,21660,"Eugene-Springfield, OR",41.039.1009,-123.017704,44.046696
46,2008,21660,"Eugene-Springfield, OR",41.039.9004,-123.053487,43.799501
47,2008,48940,"Wilmington, OH",39.027.1002,-83.788502,39.430037999999996
48,2008,41740,"San Diego-Carlsbad-San Marcos, CA",06.073.2007,-116.937772,32.552164
49,2008,16700,"Charleston-North Charleston-Summerville, SC",45.019.0048,-80.06501,32.980253999999995
50,2008,42020,"San Luis Obispo-Paso Robles, CA",06.079.2006,-120.6693,35.25651
51,2008,21660,"Eugene-Springfield, OR",41.039.0070,-122.044547,44.199819999999995
52,2008,21660,"Eugene-Springfield, OR",41.039.1007,-123.0353,43.834500000000006
53,2008,39740,"Reading, PA",42.011.0011,-75.96860000000001,40.38335
54,2008,49660,"Youngstown-Warren-Boardman, OH-PA",39.099.0014,-80.65847,41.09596
55,2008,22140,"Farmington, NM",35.045.0009,-107.977567,36.742227
56,2008,49660,"Youngstown-Warren-Boardman, OH-PA",39.155.0007,-80.787053,41.214577
57,2008,41740,"San Diego-Carlsbad-San Marcos, CA",06.073.1002,-117.07532499999999,33.127711
58,2008,16700,"Charleston-North Charleston-Summerville, SC",45.019.0046,-79.657187,32.941023
59,2008,35380,"New Orleans-Metairie-Kenner, LA",22.087.0007,-89.97625,29.943164
60,2008,42020,"San Luis Obispo-Paso Robles, CA",06.079.4002,-120.50103,35.031459999999996
61,2008,42020,"San Luis Obispo-Paso Robles, CA",06.079.3001,-120.84271,35.36631
62,2008,33340,"Milwaukee-Waukesha-West Allis, WI",55.089.0009,-87.81,43.4981
63,2008,49020,"Winchester, VA-WV",51.069.0010,-78.08157,39.28102
64,2008,33340,"Milwaukee-Waukesha-West Allis, WI",55.079.0026,-87.91350399999999,43.060975
65,2008,41620,"Salt Lake City, UT",49.035.3006,-111.872222,40.736388999999996
66,2008,41620,"Salt Lake City, UT",49.035.0012,-111.921111,40.807500000000005
67,2008,27980,"Kahului-Wailuku, HI",15.009.9001,-156.24788999999998,20.7585
68,2008,33340,"Milwaukee-Waukesha-West Allis, WI",55.079.0010,-87.93333299999999,43.016667
69,2008,41620,"Salt Lake City, UT",49.035.3009,-112.000267,40.614733
70,2008,10900,"Allentown-Bethlehem-Easton, PA-NJ",42.095.0025,-75.341111,40.628056
71,2008,15980,"Cape Coral-Fort Myers, FL",12.071.0005,-81.87790799999999,26.602016
72,2008,33180,"Middlesborough, KY",21.013.0002,-83.73693999999999,36.60843
73,2008,33180,"Middlesborough, KY",21.013.1002,-83.52640000000001,36.6719
74,2008,27980,"Kahului-Wailuku, HI",15.009.0006,-156.446373,20.780997
75,2008,42580,"Seaford, DE",10.005.1002,-75.6106,38.6539
76,2008,33340,"Milwaukee-Waukesha-West Allis, WI",55.133.0027,-88.21507,43.020075
77,2008,33340,"Milwaukee-Waukesha-West Allis, WI",55.079.0043,-87.91111,43.02641
78,2008,13620,"Berlin, NH-VT",33.007.4002,-71.21763899999999,44.308132
79,2008,32140,"Marshall, MN",27.083.4210,-95.81788999999999,44.4438
80,2008,41860,"San Francisco-Oakland-Fremont, CA",06.041.0001,-122.520004,37.97231
81,2008,41860,"San Francisco-Oakland-Fremont, CA",06.041.0002,-122.90944,38.122979
82,2008,41860,"San Francisco-Oakland-Fremont, CA",06.001.2004,-122.30129,37.877794
83,2008,41860,"San Francisco-Oakland-Fremont, CA",06.001.1001,-121.961823,37.535833
84,2008,41860,"San Francisco-Oakland-Fremont, CA",06.081.1001,-122.20337,37.482934
85,2008,45860,"Torrington, CT",09.005.0004,-73.07907999999999,41.64486
86,2008,41860,"San Francisco-Oakland-Fremont, CA",06.013.3001,-121.896866,38.029258
87,2008,23900,"Gettysburg, PA",42.001.0001,-77.30968,39.92002
88,2008,32780,"Medford, OR",41.029.1002,-122.9102,42.341986999999996
89,2008,32780,"Medford, OR",41.029.1001,-122.876155,42.535958
90,2008,45860,"Torrington, CT",09.005.0005,-73.297257,41.821342
91,2008,41860,"San Francisco-Oakland-Fremont, CA",06.013.2001,-122.134467,38.012816
92,2008,41860,"San Francisco-Oakland-Fremont, CA",06.013.0007,-122.270336,38.034331
93,2008,41860,"San Francisco-Oakland-Fremont, CA",06.001.0007,-121.784217,37.687526
94,2008,41860,"San Francisco-Oakland-Fremont, CA",06.001.0008,-122.28045399999999,37.817118
95,2008,34940,"Naples-Marco Island, FL",12.021.0004,-81.710959,26.270083
96,2008,32780,"Medford, OR",41.029.0133,-122.87923,42.31411
97,2008,41860,"San Francisco-Oakland-Fremont, CA",06.013.1002,-121.641918,38.006311
98,2008,20100,"Dover, DE",10.001.0003,-75.518056,39.155
99,2008,12660,"Baraboo, WI",55.111.0007,-89.67970000000001,43.435100000000006
