,year,acs_geoid,acs_cbsa_name,epa_site,longitude,latitude
0,2009,12540,"Bakersfield, CA",06.029.0010,-119.01500899999999,35.385574
1,2009,12540,"Bakersfield, CA",06.029.6001,-119.272606,35.503586999999996
2,2009,45220,"Tallahassee, FL",12.073.0012,-84.346389,30.439722
3,2009,29700,"Laredo, TX",48.479.0016,-99.515222,27.517456
4,2009,21140,"Elkhart-Goshen, IN",18.039.0008,-85.968372,41.656904999999995
5,2009,26180,"Honolulu, HI",15.003.0010,-158.088613,21.323745
6,2009,12540,"Bakersfield, CA",06.029.0232,-119.016787,35.438035
7,2009,12540,"Bakersfield, CA",06.029.0014,-119.062613,35.356615
8,2009,29700,"Laredo, TX",48.479.0017,-99.502984,27.501825999999998
9,2009,32820,"Memphis, TN-MS-AR",28.033.0002,-89.98783,34.82166
10,2009,32820,"Memphis, TN-MS-AR",47.157.0010,-90.07006,35.09583
11,2009,32820,"Memphis, TN-MS-AR",47.157.0021,-90.019707,35.217501
12,2009,32820,"Memphis, TN-MS-AR",47.157.0014,-89.949533,35.085924
13,2009,32820,"Memphis, TN-MS-AR",47.157.0024,-90.04155899999999,35.151194
14,2009,45640,"Thomasville-Lexington, NC",37.057.0002,-80.26270000000001,35.8145
15,2009,26180,"Honolulu, HI",15.003.2004,-157.969126,21.392833
16,2009,26180,"Honolulu, HI",15.003.1004,-157.871171,21.303382
17,2009,29340,"Lake Charles, LA",22.019.0002,-93.368448,30.140265
18,2009,41620,"Salt Lake City, UT",49.035.3006,-111.872222,40.736388999999996
19,2009,12540,"Bakersfield, CA",06.029.0007,-118.85182499999999,35.345607
20,2009,12540,"Bakersfield, CA",06.029.5001,-118.785374,35.208295
21,2009,12540,"Bakersfield, CA",06.029.9001,-118.887598,34.821922
22,2009,41620,"Salt Lake City, UT",49.045.0003,-112.299618,40.543309
23,2009,38820,"Port Angeles, WA",53.009.0014,-124.59519,48.37182
24,2009,26180,"Honolulu, HI",15.003.1001,-157.85541999999998,21.307579999999998
25,2009,41620,"Salt Lake City, UT",49.035.3010,-111.93100000000001,40.78422
26,2009,41620,"Salt Lake City, UT",49.035.2004,-112.210278,40.736388999999996
27,2009,19340,"Davenport-Moline-Rock Island, IA-IL",19.163.0015,-90.587611,41.530010999999995
28,2009,40740,"Roswell, NM",35.005.9000,-104.404711,33.459914
29,2009,19140,"Dalton, GA",13.213.0003,-84.626423,34.785219
30,2009,13140,"Beaumont-Port Arthur, TX",48.245.0021,-93.90901799999999,29.922894
31,2009,13140,"Beaumont-Port Arthur, TX",48.245.0014,-93.895928,29.961123999999998
32,2009,13140,"Beaumont-Port Arthur, TX",48.245.0018,-94.00077,29.942798
33,2009,13140,"Beaumont-Port Arthur, TX",48.361.1001,-93.761341,30.085262999999998
34,2009,13140,"Beaumont-Port Arthur, TX",48.245.0017,-93.952866,29.982530999999998
35,2009,13140,"Beaumont-Port Arthur, TX",48.245.0019,-93.97926199999999,29.893849
36,2009,13140,"Beaumont-Port Arthur, TX",48.245.0009,-94.071061,30.036421999999998
37,2009,13140,"Beaumont-Port Arthur, TX",48.245.0102,-94.00055599999999,29.942500000000003
38,2009,13140,"Beaumont-Port Arthur, TX",48.245.0011,-93.991084,29.897516
39,2009,26420,"Houston-Sugar Land-Baytown, TX",48.201.1050,-95.01554399999999,29.583046999999997
40,2009,26420,"Houston-Sugar Land-Baytown, TX",48.201.0029,-95.673951,30.039524
41,2009,26420,"Houston-Sugar Land-Baytown, TX",48.201.0057,-95.238469,29.734230999999998
42,2009,26420,"Houston-Sugar Land-Baytown, TX",48.201.0026,-95.125495,29.802706999999998
43,2009,26420,"Houston-Sugar Land-Baytown, TX",48.201.1039,-95.128508,29.670025
44,2009,26420,"Houston-Sugar Land-Baytown, TX",48.201.0803,-95.17853799999999,29.764788
45,2009,26420,"Houston-Sugar Land-Baytown, TX",48.201.1035,-95.257593,29.733725999999997
46,2009,26420,"Houston-Sugar Land-Baytown, TX",48.201.0055,-95.499219,29.695729
47,2009,26420,"Houston-Sugar Land-Baytown, TX",48.201.0024,-95.326137,29.901035999999998
48,2009,26420,"Houston-Sugar Land-Baytown, TX",48.201.0061,-95.018132,29.615001
49,2009,26420,"Houston-Sugar Land-Baytown, TX",48.201.5504,-95.1175,29.7068
50,2009,26420,"Houston-Sugar Land-Baytown, TX",48.201.0307,-95.259909,29.718798999999997
51,2009,26420,"Houston-Sugar Land-Baytown, TX",48.201.1015,-95.079444,29.758889
52,2009,42220,"Santa Rosa-Petaluma, CA",06.097.0003,-122.71016900000001,38.443503
53,2009,30460,"Lexington-Fayette, KY",21.067.0014,-84.50743899999999,38.038965999999995
54,2009,30460,"Lexington-Fayette, KY",21.067.0012,-84.49761,38.06503
55,2009,26420,"Houston-Sugar Land-Baytown, TX",48.039.1003,-95.39774399999999,29.010841
56,2009,48540,"Wheeling, WV-OH",54.051.1002,-80.733858,39.915960999999996
57,2009,26420,"Houston-Sugar Land-Baytown, TX",48.167.1034,-94.861289,29.254474
58,2009,26420,"Houston-Sugar Land-Baytown, TX",48.339.0078,-95.425128,30.350302
59,2009,37620,"Parkersburg-Marietta-Vienna, WV-OH",54.107.1002,-81.55236699999999,39.323533
60,2009,26420,"Houston-Sugar Land-Baytown, TX",48.201.0051,-95.474167,29.623889
61,2009,26420,"Houston-Sugar Land-Baytown, TX",48.201.6000,-95.253598,29.684359999999998
62,2009,26420,"Houston-Sugar Land-Baytown, TX",48.201.0058,-95.03123199999999,29.770698
63,2009,33060,"Miami, OK",40.115.9004,-94.838889,36.922222
64,2009,25420,"Harrisburg-Carlisle, PA",42.043.0401,-76.846988,40.246992
65,2009,25180,"Hagerstown-Martinsburg, MD-WV",54.003.0003,-77.96384499999999,39.448105
66,2009,26420,"Houston-Sugar Land-Baytown, TX",48.039.1004,-95.39250899999999,29.520443
67,2009,42140,"Santa Fe, NM",35.049.0020,-105.954188,35.671141999999996
68,2009,37620,"Parkersburg-Marietta-Vienna, WV-OH",39.167.0008,-81.50130999999999,39.43147
69,2009,16100,"Carlsbad-Artesia, NM",35.015.3001,-104.4406,32.1783
70,2009,48540,"Wheeling, WV-OH",54.069.0010,-80.700972,40.114875999999995
71,2009,26420,"Houston-Sugar Land-Baytown, TX",48.201.5505,-95.37244,29.75273
72,2009,26420,"Houston-Sugar Land-Baytown, TX",48.201.0416,-95.294722,29.686389
73,2009,28300,"Keene, NH",33.005.0007,-72.27233199999999,42.930521
74,2009,26420,"Houston-Sugar Land-Baytown, TX",48.167.0005,-94.93151999999999,29.385233999999997
75,2009,25420,"Harrisburg-Carlisle, PA",42.041.0101,-77.18675,40.246528
76,2009,36740,"Orlando-Kissimmee, FL",12.095.1004,-81.34534699999999,28.551112
77,2009,33540,"Missoula, MT",30.063.0031,-113.996196,46.874835999999995
78,2009,33540,"Missoula, MT",30.063.0037,-114.224273,47.012907
79,2009,13900,"Bismarck, ND",38.015.0003,-100.76821,46.825424999999996
80,2009,13740,"Billings, MT",30.111.0066,-108.45878,45.786578999999996
81,2009,48260,"Weirton-Steubenville, WV-OH",54.009.0005,-80.59663499999999,40.341023
82,2009,48260,"Weirton-Steubenville, WV-OH",54.009.5501,-80.595323,40.335643
83,2009,43320,"Show Low, AZ",04.017.0119,-109.89249,34.82251
84,2009,49100,"Winona, MN",27.169.9000,-91.40534799999999,43.937298999999996
85,2009,31020,"Longview, WA",53.015.5501,-122.95960000000001,46.12784
86,2009,23940,"Gillette, WY",56.005.0875,-105.199227,43.702176
87,2009,23940,"Gillette, WY",56.005.0003,-105.837778,44.941111
88,2009,23940,"Gillette, WY",56.005.0123,-105.2903,44.6522
89,2009,45300,"Tampa-St. Petersburg-Clearwater, FL",12.103.0026,-82.71446499999999,27.850348
90,2009,45300,"Tampa-St. Petersburg-Clearwater, FL",12.103.0018,-82.739875,27.785866
91,2009,48260,"Weirton-Steubenville, WV-OH",39.081.1001,-80.6063,40.32207
92,2009,45300,"Tampa-St. Petersburg-Clearwater, FL",12.057.0081,-82.46514599999999,27.740033
93,2009,45300,"Tampa-St. Petersburg-Clearwater, FL",12.057.1065,-82.538429,27.892522999999997
94,2009,45300,"Tampa-St. Petersburg-Clearwater, FL",12.057.3002,-82.2304,27.96565
95,2009,27220,"Jackson, WY-ID",56.039.1011,-110.40034,44.56536
96,2009,27180,"Jackson, TN",47.113.0006,-88.809578,35.651348999999996
97,2009,10420,"Akron, OH",39.133.1001,-81.330486,41.182466
98,2009,23940,"Gillette, WY",56.005.0895,-105.473081,44.425149999999995
99,2009,27220,"Jackson, WY-ID",56.039.9000,-110.40099599999999,44.565217
100,2009,10420,"Akron, OH",39.153.0023,-81.54153199999999,41.087862
101,2009,23940,"Gillette, WY",56.005.0879,-105.425474,44.35667
102,2009,23940,"Gillette, WY",56.005.0892,-105.343164,44.097074
103,2009,23940,"Gillette, WY",56.005.1110,-105.89580000000001,44.786100000000005
104,2009,48260,"Weirton-Steubenville, WV-OH",39.081.0017,-80.61558,40.36644
105,2009,21660,"Eugene-Springfield, OR",41.039.0070,-122.044547,44.199819999999995
106,2009,21660,"Eugene-Springfield, OR",41.039.2013,-122.480487,43.744352
107,2009,49620,"York-Hanover, PA",42.133.0008,-76.699444,39.965278
108,2009,26980,"Iowa City, IA",19.103.2001,-91.503478,41.657232
109,2009,35260,"New Castle, PA",42.073.0015,-80.346442,40.995847999999995
110,2009,15540,"Burlington-South Burlington, VT",50.007.0012,-73.214444,44.480278
111,2009,15540,"Burlington-South Burlington, VT",50.007.0007,-72.86883999999999,44.528389999999995
112,2009,15540,"Burlington-South Burlington, VT",50.007.0014,-73.2106,44.4762
113,2009,32220,"Marshall, TX",48.203.0002,-94.167457,32.668987
114,2009,14600,"Bradenton-Sarasota-Venice, FL",12.115.0013,-82.507222,27.290556
115,2009,21660,"Eugene-Springfield, OR",41.039.0060,-123.083737,44.026312
116,2009,21660,"Eugene-Springfield, OR",41.039.1009,-123.017704,44.046696
117,2009,14600,"Bradenton-Sarasota-Venice, FL",12.081.3002,-82.54593,27.633089
118,2009,26140,"Homosassa Springs, FL",12.017.9000,-82.554769,28.748677999999998
119,2009,12420,"Austin-Round Rock, TX",48.453.0020,-97.872301,30.483168
120,2009,12420,"Austin-Round Rock, TX",48.453.0021,-97.71288299999999,30.263208
121,2009,49420,"Yakima, WA",53.077.0009,-120.499167,46.598056
122,2009,43620,"Sioux Falls, SD",46.099.0008,-96.700769,43.54792
123,2009,37900,"Peoria, IL",17.143.0036,-89.61341399999999,40.700072
124,2009,37900,"Peoria, IL",17.143.0037,-89.58473699999999,40.697007
125,2009,16820,"Charlottesville, VA",51.003.0001,-78.50397,38.07657
126,2009,46180,"Tupelo, MS",28.081.0005,-88.766222,34.264917
127,2009,15980,"Cape Coral-Fort Myers, FL",12.071.2002,-81.981523,26.548212
128,2009,29820,"Las Vegas-Paradise, NV",32.003.0072,-115.267506,36.224689
129,2009,29820,"Las Vegas-Paradise, NV",32.003.1019,-115.357087,35.785665
130,2009,40660,"Rome, GA",13.115.0005,-85.30482599999999,34.263197999999996
131,2009,17460,"Cleveland-Elyria-Mentor, OH",39.093.3002,-82.114261,41.463071
132,2009,17460,"Cleveland-Elyria-Mentor, OH",39.103.0004,-81.9239,41.0604
133,2009,41860,"San Francisco-Oakland-Fremont, CA",06.001.0011,-122.282347,37.814780999999996
134,2009,41860,"San Francisco-Oakland-Fremont, CA",06.001.0009,-122.169935,37.743065
135,2009,22380,"Flagstaff, AZ",04.005.1008,-111.652777,35.206111
136,2009,22380,"Flagstaff, AZ",04.005.8102,-111.984846,35.973116999999995
137,2009,17460,"Cleveland-Elyria-Mentor, OH",39.035.0069,-81.637754,41.519003
138,2009,17460,"Cleveland-Elyria-Mentor, OH",39.035.0068,-81.634419,41.454782
139,2009,17460,"Cleveland-Elyria-Mentor, OH",39.035.0060,-81.678449,41.492117
140,2009,41860,"San Francisco-Oakland-Fremont, CA",06.013.1004,-122.356811,37.9604
141,2009,15980,"Cape Coral-Fort Myers, FL",12.071.0005,-81.87790799999999,26.602016
142,2009,13620,"Berlin, NH-VT",33.007.4002,-71.21763899999999,44.308132
143,2009,29820,"Las Vegas-Paradise, NV",32.003.2002,-115.122953,36.191251
144,2009,29820,"Las Vegas-Paradise, NV",32.003.0561,-115.11393,36.163962
145,2009,29820,"Las Vegas-Paradise, NV",32.003.0020,-115.093058,36.245248
146,2009,40660,"Rome, GA",13.115.0003,-85.3232,34.2605
147,2009,41860,"San Francisco-Oakland-Fremont, CA",06.041.0004,-122.527658,37.832724999999996
148,2009,41860,"San Francisco-Oakland-Fremont, CA",06.001.0007,-121.784217,37.687526
149,2009,41860,"San Francisco-Oakland-Fremont, CA",06.001.2004,-122.30129,37.877794
150,2009,41860,"San Francisco-Oakland-Fremont, CA",06.001.1001,-121.961823,37.535833
151,2009,41860,"San Francisco-Oakland-Fremont, CA",06.001.0008,-122.28045399999999,37.817118
152,2009,22380,"Flagstaff, AZ",04.005.8100,-112.12955099999999,36.077814
153,2009,17460,"Cleveland-Elyria-Mentor, OH",39.035.0038,-81.682383,41.477011
154,2009,17460,"Cleveland-Elyria-Mentor, OH",39.035.5002,-81.458871,41.536941999999996
155,2009,17460,"Cleveland-Elyria-Mentor, OH",39.035.0071,-81.67003199999999,41.492508
156,2009,41860,"San Francisco-Oakland-Fremont, CA",06.013.1001,-122.233229,38.054919999999996
157,2009,41860,"San Francisco-Oakland-Fremont, CA",06.013.1002,-121.641918,38.006311
158,2009,41860,"San Francisco-Oakland-Fremont, CA",06.013.2001,-122.134467,38.012816
159,2009,29820,"Las Vegas-Paradise, NV",32.003.0073,-115.332728,36.173415
160,2009,46860,"Vernal, UT",49.047.2003,-109.688108,40.056709999999995
161,2009,15500,"Burlington, NC",37.001.0002,-79.407821,36.089003999999996
162,2009,41860,"San Francisco-Oakland-Fremont, CA",06.013.0002,-122.02615399999999,37.936012999999996
163,2009,39340,"Provo-Orem, UT",49.049.4001,-111.713611,40.341389
164,2009,41700,"San Antonio, TX",48.029.0032,-98.620166,29.515089999999997
165,2009,13180,"Beaver Dam, WI",55.027.0007,-88.527879,43.434996
166,2009,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42.029.0100,-75.768242,39.834461
167,2009,29380,"Lake City, FL",12.023.0002,-82.61916699999999,30.178055999999998
168,2009,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",34.015.5501,-75.24401,39.837089999999996
169,2009,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42.091.0005,-75.45754,40.19255
170,2009,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10.003.1012,-75.761299,39.691962
171,2009,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10.003.1008,-75.6036,39.57768
172,2009,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10.003.2004,-75.558056,39.739444
173,2009,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42.101.0004,-75.09778,40.008888999999996
174,2009,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42.101.0055,-75.186921,39.922867
175,2009,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42.101.0063,-75.21965,39.88294
176,2009,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42.101.0057,-75.142614,39.960048
177,2009,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42.101.0136,-75.222403,39.927613
178,2009,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42.101.0014,-75.241209,40.049603999999995
179,2009,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42.101.0047,-75.165206,39.944651
180,2009,14660,"Brainerd, MN",27.021.0001,-94.150987,47.159942
181,2009,41700,"San Antonio, TX",48.029.0055,-98.43125099999999,29.407294999999998
182,2009,15340,"Bucyrus, OH",39.033.8001,-82.997641,40.916964
183,2009,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",47.037.0026,-86.623297,36.150799
184,2009,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",47.037.0023,-86.7389,36.176382
185,2009,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42.045.0002,-75.3725,39.835556
186,2009,33740,"Monroe, LA",22.073.0004,-92.046196,32.509959
187,2009,30300,"Lewiston, ID-WA",16.069.5501,-116.80731,46.40117
188,2009,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",47.187.0106,-87.138246,35.949765
189,2009,41700,"San Antonio, TX",48.029.0677,-98.58049899999999,29.423944
190,2009,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42.017.0012,-74.882222,40.107222
191,2009,13180,"Beaver Dam, WI",55.027.0001,-88.621111,43.466111
192,2009,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",47.165.0007,-86.653137,36.29756
193,2009,34500,"Mount Vernon, IL",17.065.0002,-88.624943,38.082155
194,2009,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42.091.0002,-75.4114,40.118100000000005
195,2009,38900,"Portland-Vancouver-Beaverton, OR-WA",53.011.0013,-122.586944,45.648333
196,2009,42340,"Savannah, GA",13.051.0021,-81.04942,32.06848
197,2009,36420,"Oklahoma City, OK",40.081.9005,-96.65722199999999,35.6725
198,2009,13220,"Beckley, WV",54.081.0002,-81.19743299999999,37.807767
199,2009,36420,"Oklahoma City, OK",40.109.0041,-97.387254,35.437641
200,2009,36420,"Oklahoma City, OK",40.109.1037,-97.475083,35.614131
201,2009,38900,"Portland-Vancouver-Beaverton, OR-WA",41.051.5502,-122.669175,45.539305999999996
202,2009,38900,"Portland-Vancouver-Beaverton, OR-WA",41.051.0246,-122.6679,45.56137
203,2009,38900,"Portland-Vancouver-Beaverton, OR-WA",41.051.0080,-122.602877,45.496641
204,2009,42540,"Scranton--Wilkes-Barre, PA",42.069.0101,-75.578186,41.479116
205,2009,38900,"Portland-Vancouver-Beaverton, OR-WA",41.067.0004,-122.972398,45.528501
206,2009,38900,"Portland-Vancouver-Beaverton, OR-WA",53.011.0011,-122.516667,45.616667
207,2009,46020,"Truckee-Grass Valley, CA",06.057.0005,-121.055608,39.233477
208,2009,17380,"Cleveland, MS",28.011.0001,-90.723028,33.746055999999996
209,2009,38020,"Phoenix Lake-Cedar Ridge, CA",06.109.0005,-120.378551,37.98178
210,2009,48580,"Whitewater, WI",55.127.0005,-88.49904599999999,42.580009
211,2009,26380,"Houma-Bayou Cane-Thibodaux, LA",22.057.0004,-90.765275,29.764097999999997
212,2009,42540,"Scranton--Wilkes-Barre, PA",42.069.2006,-75.62305599999999,41.442778
213,2009,46020,"Truckee-Grass Valley, CA",06.057.0007,-120.845475,39.316555
214,2009,36420,"Oklahoma City, OK",40.017.0101,-97.751503,35.479214999999996
215,2009,38900,"Portland-Vancouver-Beaverton, OR-WA",41.009.0004,-122.77210000000001,45.768530999999996
216,2009,38900,"Portland-Vancouver-Beaverton, OR-WA",41.067.1004,-122.85443699999999,45.402446
217,2009,31420,"Macon, GA",13.021.0012,-83.543493,32.805264
218,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",17.031.0076,-87.713488,41.751400000000004
219,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",17.031.0026,-87.645326,41.87372
220,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",17.031.4201,-87.799227,42.139996
221,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",17.031.3103,-87.87626499999999,41.965193
222,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",17.031.0057,-87.722673,41.912738999999995
223,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",17.031.4007,-87.863225,42.060285
224,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",17.031.3301,-87.805377,41.782765999999995
225,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",17.031.5501,-87.6632,41.922709999999995
226,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",18.089.5504,-87.34432,41.5997
227,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",18.089.5503,-87.447464,41.649211
228,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",18.089.2008,-87.493611,41.639444
229,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",17.097.1007,-87.810047,42.467573
230,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",18.089.0022,-87.304722,41.606667
231,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",18.089.0030,-87.494734,41.681400000000004
232,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",18.089.0023,-87.439551,41.65274
233,2009,29460,"Lakeland-Winter Haven, FL",12.105.6006,-81.972222,28.028889
234,2009,17020,"Chico, CA",06.007.4001,-121.668811,39.327563
235,2009,17020,"Chico, CA",06.007.2001,-121.62052800000001,39.751273
236,2009,17020,"Chico, CA",06.007.0002,-121.843286,39.757371
237,2009,28940,"Knoxville, TN",47.009.0101,-83.941606,35.63348
238,2009,28940,"Knoxville, TN",47.009.0102,-83.783611,35.603055999999995
239,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",17.043.4002,-88.152534,41.771071
240,2009,23420,"Fresno, CA",06.019.9000,-119.155557,37.220639999999996
241,2009,23420,"Fresno, CA",06.019.0008,-119.77319,36.781333
242,2009,23420,"Fresno, CA",06.019.0007,-119.741332,36.705473999999995
243,2009,23420,"Fresno, CA",06.019.4001,-119.503659,36.597442
244,2009,28940,"Knoxville, TN",47.105.0109,-84.343035,35.721095
245,2009,21300,"Elmira, NY",36.015.0003,-76.80221,42.11096
246,2009,20260,"Duluth, MN-WI",27.137.7555,-92.15997999999999,46.72938
247,2009,20260,"Duluth, MN-WI",27.137.0034,-92.829225,48.41252
248,2009,31420,"Macon, GA",13.021.0007,-83.640996,32.777465
249,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",17.031.0060,-87.589574,41.656518
250,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",17.031.0052,-87.749928,41.965485
251,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",17.031.0064,-87.601646,41.790786999999995
252,2009,28940,"Knoxville, TN",47.093.1020,-83.87380999999999,36.019186
253,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",18.089.2004,-87.474486,41.585496
254,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",18.089.0031,-87.342991,41.598504999999996
255,2009,23420,"Fresno, CA",06.019.0242,-119.874739,36.841592
256,2009,28940,"Knoxville, TN",47.105.0108,-84.31705699999999,35.744538999999996
257,2009,41100,"St. George, UT",49.053.0130,-113.15060000000001,37.1983
258,2009,41100,"St. George, UT",49.053.0006,-113.637,37.129000000000005
259,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",17.031.0072,-87.607683,41.895812
260,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",17.031.0063,-87.635027,41.877682
261,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",17.031.0022,-87.539315,41.687165
262,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",17.031.0001,-87.732457,41.670992
263,2009,16980,"Chicago-Naperville-Joliet, IL-IN-WI",18.089.0026,-87.40590499999999,41.573239
264,2009,23420,"Fresno, CA",06.019.5001,-119.716433,36.819449
