,year,acs_geoid,cbsa_name,epa_site,longitude,latitude
0,2013,38300,"Pittsburgh, PA",0014,-80.316442,40.747796
1,2013,38300,"Pittsburgh, PA",1005,-79.72941,40.613949
2,2013,38300,"Pittsburgh, PA",0031,-79.990293,40.443366999999995
3,2013,38300,"Pittsburgh, PA",0064,-79.868062,40.323768
4,2013,38300,"Pittsburgh, PA",5001,-80.420833,40.445277999999995
5,2013,38300,"Pittsburgh, PA",0008,-79.505667,40.304694
6,2013,38300,"Pittsburgh, PA",0020,-80.0309,41.0632
7,2013,38300,"Pittsburgh, PA",0008,-79.960757,40.46542
8,2013,19380,"Dayton, OH",0032,-84.18767799999999,39.760659
9,2013,38300,"Pittsburgh, PA",0200,-80.261389,40.170556
10,2013,38300,"Pittsburgh, PA",0005,-79.902222,40.146667
11,2013,30340,"Lewiston-Auburn, ME",0011,-70.214219,44.089406
12,2013,38300,"Pittsburgh, PA",0010,-80.016155,40.445577
13,2013,30340,"Lewiston-Auburn, ME",0014,-70.124608,43.974622
14,2013,49420,"Yakima, WA",0016,-120.72932,46.375429999999994
15,2013,32580,"McAllen-Edinburg-Mission, TX",0043,-98.291069,26.22621
16,2013,16620,"Charleston, WV",0010,-81.628317,38.345600000000005
17,2013,23940,"Gillette, WY",0879,-105.425474,44.35667
18,2013,23940,"Gillette, WY",0003,-105.837778,44.941111
19,2013,23940,"Gillette, WY",0891,-105.2133,43.6483
20,2013,23940,"Gillette, WY",0012,-105.91980000000001,44.3395
21,2013,49420,"Yakima, WA",0009,-120.499167,46.598056
22,2013,47580,"Warner Robins, GA",0001,-83.5978,32.6056
23,2013,23940,"Gillette, WY",0857,-105.375628,44.277172
24,2013,14860,"Bridgeport-Stamford-Norwalk, CT",9003,-73.33666699999999,41.118333
25,2013,49420,"Yakima, WA",0015,-120.33266,46.38024
26,2013,16620,"Charleston, WV",1005,-81.69371699999999,38.366183
27,2013,23900,"Gettysburg, PA",0001,-77.30968,39.92002
28,2013,38860,"Portland-South Portland, ME",9002,-70.06381499999999,43.832457999999995
29,2013,38860,"Portland-South Portland, ME",0002,-70.729165,44.107524
