,year,acs_geoid,cbsa_name,epa_site,longitude,latitude
0,2017,38300,"Pittsburgh, PA",0035,-80.508391,40.645019
1,2017,38300,"Pittsburgh, PA",0007,-80.317731,40.673656
2,2017,38300,"Pittsburgh, PA",1301,-79.860973,40.402328
3,2017,38300,"Pittsburgh, PA",0005,-79.902222,40.146667
4,2017,38300,"Pittsburgh, PA",5001,-80.420833,40.445277999999995
5,2017,30340,"Lewiston-Auburn, ME",0011,-70.214219,44.089406
6,2017,38300,"Pittsburgh, PA",0008,-79.505667,40.304694
7,2017,38300,"Pittsburgh, PA",0008,-79.960757,40.46542
8,2017,38300,"Pittsburgh, PA",1008,-79.72766399999999,40.617488
9,2017,38300,"Pittsburgh, PA",0031,-79.990293,40.443366999999995
10,2017,19380,"Dayton, OH",0038,-84.198674,39.755969
11,2017,38300,"Pittsburgh, PA",5200,-80.243995,40.268963
12,2017,24260,"Grand Island, NE",0004,-98.364967,40.942099
13,2017,23820,"Gardnerville Ranchos, NV",0007,-119.732507,38.897557
14,2017,41740,"San Diego-Carlsbad, CA",1022,-116.944222,32.789561
15,2017,41740,"San Diego-Carlsbad, CA",0001,-117.059075,32.631231
16,2017,17020,"Chico, CA",0008,-121.84047,39.76168
17,2017,43340,"Shreveport-Bossier City, LA",0008,-93.74893999999999,32.536273
18,2017,41740,"San Diego-Carlsbad, CA",1006,-116.768225,32.842242
19,2017,27460,"Jamestown-Dunkirk-Fredonia, NY",0006,-79.31881,42.499629999999996
20,2017,26580,"Huntington-Ashland, WV-KY-OH",0017,-82.64041,38.45934
21,2017,13620,"Berlin, NH-VT",4002,-71.21763899999999,44.308132
22,2017,21500,"Erie, PA",0003,-80.038611,42.141749999999995
23,2017,26580,"Huntington-Ashland, WV-KY-OH",0006,-82.4259,38.424133
24,2017,44180,"Springfield, MO",0036,-93.299894,37.256136999999995
25,2017,32820,"Memphis, TN-MS-AR",0021,-90.019707,35.217501
26,2017,32820,"Memphis, TN-MS-AR",0075,-89.85024899999999,35.151699
27,2017,45060,"Syracuse, NY",1015,-76.05921,43.05235
28,2017,48260,"Weirton-Steubenville, WV-OH",0020,-80.63998699999999,40.259474999999995
29,2017,48260,"Weirton-Steubenville, WV-OH",0017,-80.61558,40.36644
30,2017,48260,"Weirton-Steubenville, WV-OH",0018,-80.62955,40.271975999999995
31,2017,25220,"Hammond, LA",0001,-90.377212,30.503287
32,2017,21500,"Erie, PA",0004,-80.11332999999999,42.155833
33,2017,16500,"Centralia, WA",0007,-121.388064,46.624184
34,2017,48260,"Weirton-Steubenville, WV-OH",0011,-80.611813,40.394650999999996
35,2017,32820,"Memphis, TN-MS-AR",0002,-89.98783,34.82166
36,2017,30460,"Lexington-Fayette, KY",0012,-84.49761,38.06503
37,2017,35380,"New Orleans-Metairie, LA",0021,-90.11819,29.996012999999998
38,2017,35380,"New Orleans-Metairie, LA",0012,-90.10154999999999,29.993519
39,2017,18860,"Crescent City, CA",0002,-124.083964,41.560952
40,2017,35380,"New Orleans-Metairie, LA",0002,-90.817415,29.99497
41,2017,35380,"New Orleans-Metairie, LA",8004,-90.531859,30.051938
42,2017,26580,"Huntington-Ashland, WV-KY-OH",0002,-82.63136999999999,38.47676
43,2017,45900,"Traverse City, MI",0003,-86.109408,44.616943
44,2017,32820,"Memphis, TN-MS-AR",0100,-89.87065,35.16126
45,2017,10900,"Allentown-Bethlehem-Easton, PA-NJ",0007,-75.067815,40.92458
46,2017,15700,"Cambridge, MD",0004,-76.14100599999999,38.587525
47,2017,10900,"Allentown-Bethlehem-Easton, PA-NJ",8000,-75.237156,40.692223999999996
48,2017,16100,"Carlsbad-Artesia, NM",3001,-104.4406,32.1783
49,2017,23900,"Gettysburg, PA",0001,-77.30968,39.92002
50,2017,38860,"Portland-South Portland, ME",0029,-70.268965,43.660246
51,2017,38860,"Portland-South Portland, ME",2003,-70.207324,43.561043
52,2017,42200,"Santa Maria-Santa Barbara, CA",2004,-120.45750000000001,34.63782
53,2017,42200,"Santa Maria-Santa Barbara, CA",0008,-120.02551,34.46245
54,2017,42200,"Santa Maria-Santa Barbara, CA",2011,-119.8284,34.44551
55,2017,42200,"Santa Maria-Santa Barbara, CA",1013,-120.428717,34.725352
56,2017,42200,"Santa Maria-Santa Barbara, CA",1014,-119.79146,34.54166
57,2017,12700,"Barnstable Town, MA",0002,-70.02359799999999,41.975804
58,2017,38860,"Portland-South Portland, ME",9002,-70.06381499999999,43.832457999999995
59,2017,42200,"Santa Maria-Santa Barbara, CA",9000,-120.008349,34.733889
60,2017,19700,"Deming, NM",0003,-107.7227,32.2558
61,2017,42200,"Santa Maria-Santa Barbara, CA",1008,-120.435611,34.942872
