,geoid,Unnamed: 0,2007.mean.88502,2007.stdev.88502,2008.mean.88502,2008.stdev.88502,2009.mean.88502,2009.stdev.88502,2010.mean.88502,2010.stdev.88502,2011.mean.88502,2011.stdev.88502,2012.mean.88502,2012.stdev.88502,2013.mean.88502,2013.stdev.88502,2014.mean.88502,2014.stdev.88502,2015.mean.88502,2015.stdev.88502,2016.mean.88502,2016.stdev.88502,2017.mean.88502,2017.stdev.88502,2018.mean.88502,2018.stdev.88502,2007.mean.68105,2007.stdev.68105,2008.mean.68105,2008.stdev.68105,2009.mean.68105,2009.stdev.68105,2010.mean.68105,2010.stdev.68105,2011.mean.68105,2011.stdev.68105,2012.mean.68105,2012.stdev.68105,2013.mean.68105,2013.stdev.68105,2014.mean.68105,2014.stdev.68105,2015.mean.68105,2015.stdev.68105,2016.mean.68105,2016.stdev.68105,2017.mean.68105,2017.stdev.68105,2018.mean.68105,2018.stdev.68105
140,42680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,33780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,47220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,49660,1027.0,16.928814000000003,11.455883,15.0,9.335934,11.788333,6.453224,12.446392499999998,6.2627395,11.378920999999998,5.522494999999998,10.5920875,4.9221955,11.0015405,5.386536,11.399692,6.043593,9.375419,4.258004,8.238082,3.098839,8.33589,3.294292,8.067955999999999,3.290946,,,,,,,,,,,,,,,,,,,,,,,,
144,20220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,26580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,21780,504.0,,,,,,,,,,,,,,,,,,,,,,,,,15.88125,10.588465,13.778846,10.392685,14.324107000000001,10.135952,14.465546,11.63088,15.228814000000002,10.220702000000001,16.561905,9.090352000000001,13.249167000000002,10.502781,13.178049,10.674387,15.133333,9.991596000000001,15.803279000000002,9.991136000000001,15.216239000000002,9.383036,14.536134,10.853077
147,34820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,31300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,24860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,40220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,11540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,20020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,39580,972.0,,,,,,,,,,,,,,,,,,,,,,,,,18.34532833333333,8.276964333333334,17.007817000000003,7.807474000000001,18.6232665,8.90179275,17.4321955,9.829587,19.133355666666667,8.872147333333334,18.555139666666665,7.668931999999999,17.11061833333333,8.418981666666665,16.863678333333333,8.915649333333333,18.1326635,8.63014375,17.401148000000003,8.568905999999998,14.7138645,6.97853825,17.9014685,9.300907
154,29740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,32820,400.5,,,,,,,,,,,,,,,,,,,,,,,,,19.462478,9.418621,17.3458295,8.903998,16.3478125,8.886236,17.9108125,10.490645,17.553027500000002,9.887154,19.39423,8.270038,16.796011749999998,9.513499999999999,16.797523249999998,9.34792275,18.31669625,8.973413,17.92610475,8.918838000000001,18.225355999999998,8.495565,18.21696775,9.729924
156,16620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,23580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,15980,295.0,,,,,,,,,,,,,,,,,,,,,,,,,24.521678,3.4314884999999995,23.315417,4.2862765,23.9118065,4.628879,22.2913825,6.0909084999999985,23.797423000000002,4.742799,24.60125,3.7605175,24.286504500000003,3.6702875,23.8354885,4.7133645,24.874516,3.9318085,24.3759805,4.4164335,23.532409,3.989559,21.634694,4.198737
159,40420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,24540,234.0,,,,,,,,,,,,,,,,,,,,,,,,,11.629581,11.2091245,9.888327,9.9900625,9.755485,9.614032,10.369017999999999,10.002148,10.615686,10.9249,12.1686935,10.129101,9.9757775,11.2173155,9.8890345,11.309503999999999,10.1174225,9.180250999999998,11.172151,11.278426,11.632574499999999,9.9125165,10.073398999999998,9.884396
161,12940,588.3333333333334,10.719888000000001,5.3049610000000005,9.823599,5.660094,8.945428,4.097842,9.556322,8.524286,8.826087,4.3739870000000005,7.358166000000001,3.486571,7.1576179999999985,3.937555,10.628571,3.7389550000000003,10.50084,3.96,9.861047,3.207834,9.250562,3.4687940000000004,9.113333,4.291642,21.95059433333333,7.180757666666665,20.965496,6.865503499999999,21.30725788888889,7.114424666666667,19.70138988888889,8.558073222222221,21.112244,7.851277444444444,22.101881111111112,6.187124666666667,20.273078333333334,7.505602555555555,19.762113,7.884362222222222,21.68957288888889,7.033172,21.142102444444443,6.683222444444444,21.54076988888889,6.430594333333333,21.001465555555555,7.536980666666666
162,25900,377.0,4.288333000000001,6.425961,6.057391,11.271662,7.395797999999999,10.66257,4.863934,8.603757,2.630252,3.5474879999999995,3.159016,4.780983999999999,4.196694,5.54408,4.172414,4.6515,5.086364,5.802554,4.411304,6.5690100000000005,3.906667,5.312001,4.063542,5.6993649999999985,,,,,,,,,,,,,,,,,,,,,,,,
163,12260,769.0,,,,,,,,,,,,,,,,,,,,,,,,,18.683146999999998,7.85612075,18.3630985,7.906982,18.1219065,7.978434,17.989470750000002,9.435683000000001,18.52838625,8.55370525,19.239597500000002,7.3195517500000005,17.789904999999997,7.483582,17.89415125,8.495869500000001,18.873739,7.730156749999999,19.4370445,7.7275480000000005,19.450072499999997,6.618465,18.132285500000002,8.521292999999998
164,11260,42.0,1.3624450000000001,0.8382594999999999,1.5146859999999998,1.2962685,2.1071985,2.3368065,1.38125,1.1199845,1.426483,0.917157,1.246501,0.8277304999999999,1.3922370000000002,1.0548475,1.480508,1.520923,1.2252100000000001,1.1619110000000001,1.076033,0.915699,1.282906,0.932765,1.2941669999999998,0.8148099999999999,,,,,,,,,,,,,,,,,,,,,,,,
165,45780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,41420,1086.0,6.352329,7.5448499999999985,6.844318,5.641197,7.479500999999999,6.3419919999999985,5.8621550000000004,4.448141000000001,6.969576999999999,5.894609,5.854396,4.283784,7.9339830000000005,7.493697,6.333425,5.4362119999999985,7.1632880000000005,7.644312999999999,5.318663,3.706888,6.15374,6.36321,5.9007749999999985,5.8415789999999985,,,,,,,,,,,,,,,,,,,,,,,,
167,39540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,26380,602.0,11.024444,5.627271,9.702160000000001,4.623908,8.044224999999999,3.6044370000000003,8.472493,4.015092,7.787534999999999,3.8160190000000003,7.33908,3.78031,6.4459610000000005,3.950854,6.7347579999999985,3.102154,6.791549000000001,3.39575,6.020809,2.5825560000000003,5.889863,3.486746,6.021246,2.883441,21.301176,6.445199,20.588462,6.533993,20.736585,6.419122,18.947059,8.391966,20.360163,7.268738000000001,21.3225,5.831045,20.359829,6.530935,19.487603,7.327273,21.204918,6.633597,21.123967,6.671544,21.32439,6.268191000000001,21.266393,6.997102000000001
169,10420,1038.0,,,,,,,,,,,,,,,,,,,,,,,,,10.544507499999998,10.7750035,10.003048,10.168819000000001,10.158158,10.1791325,11.1400755,11.366696,10.6639695,10.224836999999999,12.8325425,9.8470625,10.7420455,11.0339395,9.32161,10.891583,11.325026,11.245160499999999,9.267707000000001,8.6310735,12.058333,10.251338,11.436,10.419267
170,22380,48.0,3.574783,3.464629,2.801739,2.047505,3.262281,2.708145,2.473043,2.573833,2.78595,3.18615,2.764463,1.880508,2.5610169999999997,2.0415360000000002,2.5125,2.053755,2.418803,3.51759,2.1175,1.447784,2.821818,1.8730040000000001,2.796639,2.024927,,,,,,,,,,,,,,,,,,,,,,,,
171,22500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,26980,512.0,,,,,,,,,,,,,,,,,,,,,,,,,11.215361,11.94171,9.126316000000001,12.004797,9.597391,11.194980000000001,10.462609,12.557172,10.41142,11.419549,12.512424000000001,10.833515,9.706728,11.840562,9.786577000000001,11.534925,10.829494,11.330326,11.273446,11.459849,10.825208,10.804899,9.730084,12.415101
173,17780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,44980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,26100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,35420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,19500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,49420,1398.0,,,,,,,,,,,,,,,,,,,,,,,,,7.2270949999999985,6.3407540000000004,7.857280499999999,7.7724414999999984,7.256868499999999,7.910753999999999,8.3459155,6.5900455000000004,11.188813499999998,8.960442500000001,12.009138,9.094423,11.817619,9.931576,12.36057,9.912868499999998,13.682044,8.778924,12.4255215,9.3488525,11.293404,10.7790205,11.507093,9.155771000000001
179,49740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,27100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,22220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,45460,505.0,,,,,,,,,,,,,,,,,,,,,,,,,13.548673,11.039573,11.617117,10.482911,13.060194000000001,9.733068,12.928099000000001,11.617123,13.035345,10.554226,14.333884,9.891103,11.373554,11.353148,11.077869,11.289002,13.062185000000001,10.710837,13.776229999999998,10.56804,13.131667000000002,10.081533,12.49918,11.62524
183,43580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,23060,454.0,,,,,,,,,,,,,,,,,,,,,,,,,10.431464,11.93721,11.428037,10.351755,10.190435,9.907174000000001,11.738525,11.235028,10.709565,10.429328,12.606723,9.924364,10.073974,11.0485305,9.372689,11.305457,11.160784,10.9134315,12.166966,10.383194499999998,11.298305000000001,10.243814,12.860674000000001,11.897007
185,31140,461.0,,,,,,,,,,,,,,,,,,,,,,,,,15.10755775,10.34134025,14.040898499999997,9.94003625,13.52872225,9.697725,14.46559975,11.078698500000002,14.68692575,10.073917250000001,15.370345250000002,9.11519525,13.41186325,10.484858,12.839498500000001,10.535753,14.483727250000001,9.922238,14.854566249999998,9.83409675,14.65654375,9.374172999999999,7.62321325,9.32158
186,17980,368.0,14.655618,10.602567,11.504478,5.9923009999999985,9.85,5.33582,10.869589,5.520838,11.553056,6.718062,9.476438,5.093801,8.353425,4.416685,9.17589,5.026164,7.897015,4.377637,7.942406999999998,5.260379,8.316056,4.639549,6.662857000000001,3.966174,19.803955,7.8182174999999985,19.2915415,7.463347,18.3250895,8.1257495,18.521945000000002,9.9741865,19.2241225,8.540941499999999,19.9938525,7.3100190000000005,18.2781515,7.230701999999999,18.1289225,8.436377,19.342623,7.549147500000001,20.483929,7.592934,19.662295,7.113067,18.013793,8.764790999999999
187,44060,1390.0,8.530232999999999,6.296342,8.471784,5.259011,6.686575,4.0749179999999985,6.307022,4.508031,7.047657999999998,5.098284,7.044931999999998,5.446479,8.30467,6.382496,6.560884,4.793739,8.584444,10.202518,5.529086,3.805765,10.417534,21.202915,9.490959,16.288714000000002,,,,,,,,,,,,,,,,,,,,,,,,
188,27500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,30980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,30780,84.0,16.568421,23.53002,13.032203,6.382098999999998,10.734426,4.617499,12.054098,4.600963,11.5457325,4.682214,10.426291,4.1912765,10.144834,4.8420235,10.1968415,4.9626410000000005,8.896438,3.845815,8.620562999999999,3.4000410000000003,8.471229,3.3240800000000004,8.230532,3.6567,19.2861015,8.832893999999998,17.652362333333333,9.019098333333334,17.431781166666667,8.489418666666666,18.982629666666668,10.3770945,18.526145333333332,9.774846833333333,20.2375755,8.685244833333332,17.966469833333328,9.543518666666666,17.3585585,9.183591,19.004122666666667,9.392363666666665,19.8794915,8.610760166666665,19.648850166666662,7.8647849999999995,18.506282166666665,9.664578666666667
191,10780,596.0,,,,,,,,,,,,,,,,,,,,,,,,,21.051807,7.593825,19.878571,7.262397999999999,19.840870000000002,7.207402,18.972816,8.609117,20.192562,8.355589,21.402459,6.843703,19.427559,7.5781079999999985,18.576667,8.348912,19.95339,7.839126999999999,22.093269,6.396984,21.406604,7.110104,19.396667,7.95728
192,29700,1294.0,11.305398,4.8949940000000005,11.334746,5.422235,10.978827,5.565179,10.355828,4.9837159999999985,11.491374,5.991764,10.488657,4.649247,10.228198,6.195144,10.555977,4.759787,10.476271,5.739072,9.527273,5.33102,10.111976,5.318368,7.95,3.437607,,,,,,,,,,,,,,,,,,,,,,,,
193,37340,268.0,8.070148999999999,3.365197,8.274317,3.451781,7.931781,2.962657,7.996986,3.059756,7.6370369999999985,3.176475,8.281158999999999,4.1685870000000005,7.3111799999999985,2.993409,7.816910000000001,3.165014,7.095172,2.904806,7.150833,2.47915,7.8627910000000005,3.071492,7.202833,2.012078,23.539316,4.210801999999999,22.676667000000002,4.324714,22.825472,5.181507,21.718018,6.781636,23.780508,4.484527,22.85124,4.234858,22.865833,4.135895,22.741379000000002,4.505264,23.992373,4.20216,23.857143,4.494659,23.526923,3.9280720000000002,23.235,4.7498369999999985
194,10180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,32580,1269.0,11.124722,4.969806,11.947839,5.439718,11.121111,5.4243440000000005,10.303081,5.131273,11.090831,5.616067,10.139444000000001,4.341835,9.581894,5.952628,9.881303,5.139181,10.33895,5.817501999999999,11.130244,6.340344,9.517665,4.9291269999999985,6.05625,1.685218,,,,,,,,,,,,,,,,,,,,,,,,
196,21500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,25500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,11300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,33660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,12020,339.0,13.459429,7.9739049999999985,10.914407,5.989542,9.445,5.007485,10.004959,5.074476,10.717647,6.322272,9.504274,4.571803,8.998901,5.0795650000000006,9.347175,4.56105,7.096610000000001,3.904082,7.751111,6.6489449999999986,5.417465,4.421759,4.6090909999999985,1.352372,,,,,,,,,,,,,,,,,,,,,,,,
201,48020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,36100,300.0,9.214706,3.3630910000000003,9.736892999999998,4.1185589999999985,8.838968,3.5081800000000003,9.310924,3.33977,9.818598,4.198615,9.077716,3.33025,8.590909,3.2950660000000003,8.579251,3.02169,8.053144999999999,2.946726,7.960382999999998,2.760045,8.157924999999999,3.405269,7.798076999999998,2.480785,,,,,,,,,,,,,,,,,,,,,,,,
203,46060,67.0,5.788835,3.0109029999999994,4.989615333333334,2.4472863333333335,4.6486659999999995,2.025929,3.860405333333334,1.6799786666666667,5.0919143333333325,2.93911,5.156822,2.4256553333333333,4.425296666666667,2.240011,4.5949729999999995,3.2051060000000002,3.917011666666666,2.1319150000000002,4.380192,2.0980956666666666,4.370123333333334,2.073714333333333,4.11152,2.3643696666666667,21.597638500000002,8.535654,21.897265,6.883835,22.7048485,8.825157999999998,21.961577,8.383336,21.6932725,9.052041000000001,21.241875,8.487063000000001,21.6106105,8.5907085,21.4281945,7.2007164999999995,21.7885985,8.453714999999999,22.613862,8.072607999999999,22.55655866666667,7.571150999999999,22.1106555,8.6572405
204,32900,138.0,,,,,,,,,,,,,,,,,,,,,,,,,17.035227,7.295362,14.582051000000002,6.666134,16.313636,7.313633999999999,15.992941,6.3358729999999985,14.646429000000001,7.0543749999999985,16.291954,6.714687,15.974699,7.4225080000000005,19.479612,6.811601,18.237931,7.492542999999999,18.647414,7.211880000000001,18.471304,7.839931,18.497521,6.955723
205,41060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,47020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,22140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,27900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,38540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,28700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,43320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,26620,22.0,,,,,,,,,,,,,,,,,,,,,,,,,18.494832000000002,8.896369,16.8913725,8.6928205,16.907289000000002,8.53315,16.882082999999998,10.1140745,17.054533999999997,9.704180000000001,18.006342,7.726339500000001,16.206529999999997,8.966816,15.9670015,9.429469500000002,13.81583333333333,6.708962999999999,18.053389499999998,8.537187,18.2810455,8.367367999999999,18.129881,9.62973
213,36420,1048.0,,,,,,,,,,,,,,,,,,,,,,,,,16.341012,9.6020815,16.491334,10.279309,15.878674999999998,9.6990685,16.562067000000003,10.5407485,17.211315499999998,11.806000999999998,16.916508,9.323422,14.567816500000001,10.4846985,15.462255,11.0283065,18.0419485,10.117282499999998,17.931697500000002,9.022766,18.660345,9.291081,18.459184,11.112491
214,18580,1282.0,9.0,2.685942,8.725455,3.81829,9.391379,5.4078659999999985,9.392308,4.321621,9.190909,4.632333999999999,9.505455,5.342611,9.0438525,5.215049499999999,9.1177965,4.5473795,9.253587,4.898802999999999,8.424074999999998,4.871419,8.250962999999999,4.0889394999999995,8.5958805,5.2917585,,,,,,,,,,,,,,,,,,,,,,,,
215,13020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,13380,1394.0,1.968421,1.6030010000000001,2.090909,1.554192,2.837383,3.037984,2.12623,2.739934,1.9226419999999997,1.708649,2.263793,2.620966,1.814912,1.7235599999999998,2.259459,2.934788,2.172807,3.038464,1.593333,1.35744,5.935105999999998,17.092045000000002,4.246087,10.931881,,,,,,,,,,,,,,,,,,,,,,,,
217,21340,1249.0,7.993681,3.258283,8.49915,3.882138,7.691453,2.954597,8.398859999999999,3.7389,9.239577,4.290925,7.508997,3.301513,7.3632019999999985,4.857968,7.060772999999998,4.013979,6.201928,2.454936,8.262362999999999,3.037957,8.673292,4.17244,8.012637,3.287459,19.698816,8.614563,20.8045835,8.173065999999999,20.987008,8.589515500000001,19.10089,8.757119,20.3563215,9.4342925,20.8340035,8.868049000000001,19.906421,9.157682000000001,21.1207235,8.274206499999998,18.679036,8.5591395,18.429412,7.239722,21.613115,7.760281999999999,21.405738,8.921312
218,29420,63.0,3.915,2.167121,4.0128439999999985,2.598721,3.598901,2.242295,2.873684,1.714646,3.438298,2.523358,3.666346,2.042729,3.2932040000000002,2.208018,2.986275,1.8823849999999998,2.822689,2.206402,2.807692,1.8637259999999998,2.712712,1.7004549999999998,3.522414,3.919629,,,,,,,,,,,,,,,,,,,,,,,,
219,47940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,46340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,14260,387.0,8.878447999999997,6.507839,7.357850999999998,5.229671,6.907563000000001,4.7403629999999986,6.6884299999999985,3.956033,7.2481684999999985,6.248279,8.512475666666667,9.059519333333334,12.535301333333333,15.357323499999998,7.214842,7.090525199999999,5.120584,5.496985499999999,7.9968439999999985,6.330184,10.082955,12.02319,7.677008,7.453428999999999,11.053418999999998,8.993965,10.2486555,9.5330555,10.755352499999999,10.1272685,10.834426,8.7614855,10.4667415,9.6561375,12.6262725,9.163985,10.9360655,11.5930315,18.1444945,7.1156454999999985,12.075833,9.798002,12.384821,9.960510000000001,11.081197,11.030529,11.70339,9.572172
222,42140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,32740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,13740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,14660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,44300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,34380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,36300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,42340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,39060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,39340,1304.0,,,,,,,,,,,,,,,,,,,,,,,,,12.305085,11.245281,11.046667,10.288688,11.446667,10.356583,4.974833499999999,7.1244785,10.511969333333333,10.521298,13.285254666666667,9.390515,10.904936,12.016762666666667,12.844131666666666,9.333469333333333,14.374271333333333,8.993390999999997,13.422218666666666,9.342963333333334,11.528428333333332,9.803086666666664,12.455254666666667,10.409315333333334
232,22900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,26820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,11020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,24300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,28940,1198.2,11.291525,7.540813000000001,8.590083,5.000173,6.465000000000002,3.6195230000000005,7.889343999999999,4.009345,7.8464909999999986,4.667268,6.40339,3.2842,5.822881,3.15333,6.383036,3.596191,5.4,3.783489,5.207627,2.716904,6.609395,2.7837594999999995,5.5442375,2.687439,16.841091,8.5487395,14.7435495,8.706779699999998,14.630493700000002,8.694982,14.9625762,10.4993645,15.025680600000001,8.698138799999999,16.9978111,7.901749799999999,15.0682162,8.914839400000002,12.7878967,8.8875063,16.272648,8.9091913,16.5736118,9.1437935,16.3275705,8.228728199999999,11.4858264,7.6762974
237,32270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,48700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,44660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,31540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,14580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,30860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,17900,1175.0,,,,,,,,,,,,,,,,,,,,,,,,,18.969659,8.032613000000001,16.802787,8.029687,17.517647,8.126171000000001,17.485056999999998,9.720355,19.168626999999997,8.331227,18.606907,7.327591,17.442286,7.769176,19.099675,8.256489,19.523362,8.255009,18.922887,8.445653,19.386316,7.379043999999999,18.333731,8.702041999999999
244,39820,193.0,2.7949580000000003,3.048391,6.325664,11.493793,3.37807,4.536592,2.6558330000000003,3.9709410000000003,2.7625,5.582455,3.29646,9.155277,2.272034,2.146748,2.9452990000000003,2.59932,2.8087720000000003,3.650956,2.134513,1.974334,3.92,7.177973,7.268966000000001,14.462373000000001,16.25614,7.5079720000000005,16.209836,8.183677000000001,16.203332999999997,8.099821,14.648214000000001,7.2944309999999986,15.942857,7.967841,16.335593,7.797452000000001,16.176786,7.891952000000001,18.010345,7.059837,19.382456,7.2258,17.494643,8.130983,17.760345,8.701481,17.198038999999998,7.851661999999998
245,41140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,48300,1339.0,8.130411,6.066919,8.327869,6.1150959999999985,5.569858999999999,4.129489,4.403333,2.9967,7.317906,6.142631,10.620219,14.526587,8.195856,6.06537,8.574425,7.751059,8.137017,7.193885000000001,5.588854,4.097155,6.349508,8.824671,8.93,15.847584,,,,,,,,,,,,,,,,,,,,,,,,
247,21700,107.0,,,,,,,,,,,,,,,,,,,,,,,,,10.292593,3.099467,9.630233,2.744152,10.31236,2.94224,10.986207,2.526426,9.235897,3.3338080000000003,9.219048,2.766341,7.026087,2.285372,12.273636,2.549318,12.328333,2.8862810000000003,12.342623,2.358979,11.722881,3.032429,11.352066,2.66718
248,28660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,48060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,46300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,45900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,15180,1231.0,8.330769,2.632295,12.217241,5.861176,11.041379,5.6148620000000005,9.677358,4.001377,11.164706,6.022319,9.426786,4.845898,9.735202,5.4333285,10.041436000000001,5.575699,9.657835,6.250425,8.740350999999999,5.0325289999999985,8.17343,4.12452,8.889538,5.113413,,,,,,,,,,,,,,,,,,,,,,,,
253,44180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,33540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,43620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,15940,1034.0,,,,,,,,,,,,,,,,,,,,,,,,,7.505141999999998,11.169815,11.709018666666665,9.743631666666666,11.093556,9.929654333333334,11.364192,11.018843333333333,10.098742,9.759021666666666,12.646477999999998,9.682166666666667,9.986024333333333,10.716321666666667,10.525842333333333,10.921371666666666,12.721012,10.686227333333333,8.255987999999999,8.792929666666666,12.47,9.881524,11.527586,11.040147
257,17020,96.0,9.124581,8.106809,13.711048000000002,17.26089,9.567989,6.467499,9.056497,5.087364,13.19645,6.890426,7.6484679999999985,5.1485249999999985,10.241017999999999,6.908972,9.308187,6.0727400000000005,8.693209999999999,6.279626,8.762369,3.740589,12.217901,7.2582130000000005,17.080447,28.783424,,,,,,,,,,,,,,,,,,,,,,,,
