,combined_id,2007.mean,2007.stdev,2008.mean,2008.stdev,2009.mean,2009.stdev,2010.mean,2010.stdev,2011.mean,2011.stdev,2012.mean,2012.stdev,2013.mean,2013.stdev,2014.mean,2014.stdev,2015.mean,2015.stdev,2016.mean,2016.stdev,2017.mean,2017.stdev,2018.mean,2018.stdev
578,12940.epa.22.033.0009.88502,11.976903,5.281415,10.776819,4.503032,9.971600500000001,3.7691859999999995,11.4852525,4.852964,12.157522,5.815509,10.764486,4.596168,10.474765999999999,5.612184999999999,11.120481999999999,3.933216,,,,,,,,
579,12940.epa.22.033.0009.68105,22.255232999999997,7.185238999999999,21.731412,7.1464035,21.76876366666667,7.096474,20.464609666666668,8.778390666666665,21.498489,7.744553333333333,22.75757033333333,6.093422,21.078750999999997,7.377122666666666,20.105062999999998,8.041595666666666,21.453197666666664,7.1693169999999995,22.36393233333333,7.294678333333333,22.220932666666666,6.698676,21.364384666666666,7.71182
580,12940.epa.22.033.0013.88502,9.901714,4.682068999999999,8.901734,4.2017869999999995,8.004571,3.710781,10.024148,4.466375,10.355737999999999,3.67571,,,,,,,,,,,,,,
581,12940.epa.22.033.1001.68105,22.495122,6.933250999999999,20.752632,6.962299,19.447540999999998,8.017597,18.418,8.525776,,,,,,,,,,,,,,,,
582,12940.epa.22.047.0005.68105,21.826829,7.086729999999999,20.268182,6.864681,21.014167,7.041752,19.253846,8.517884,20.624793,7.926803,21.091803,6.097738,19.368292999999998,7.368189,18.954839,7.749098,22.442400000000003,7.07058,20.886885,6.310597,20.877686,6.304264,20.520512999999998,7.347055999999999
583,12940.epa.22.047.0009.68105,22.826743999999998,6.129684999999999,20.244144,6.782152,21.011017,6.749369,18.935294,8.520978,20.7075,7.571930999999999,21.509756,6.2216759999999995,20.204237,6.945962,20.089256,6.859115999999999,,,,,,,,
584,35380.epa.22.051.1001.68105,22.591386,7.098212999999999,20.641303999999998,6.640788,21.870307999999998,6.640581,20.37517,8.042742,20.574862,7.04535,21.158452999999998,5.981554,20.43631,6.620261999999999,20.166762,7.300629,19.107792,7.493290999999999,20.881967,6.561541999999999,21.292856999999998,6.345015,20.201667,7.90757
585,35380.epa.22.051.1001.88502,10.471667,5.640515,9.08,3.9918039999999997,9.146027,3.999425,10.072877,5.1431059999999995,9.472652,4.514403,8.126744,3.9459000000000004,6.753889,3.270555,7.9537819999999995,4.3386059999999995,7.443131999999999,4.396616,5.8663929999999995,2.806791,7.674212,4.006578,9.682303,4.265617
586,35380.epa.22.051.2001.68105,23.108570999999998,6.972187,20.185714,6.47959,22.010084,6.365844,20.05,8.264192999999999,20.794214999999998,7.489585,21.345902,6.121201999999999,20.701694999999997,6.5529139999999995,20.18843,7.142481,22.626016,6.49798,22.455285,6.312583999999999,23.289915999999998,6.082015999999999,22.375,7.068384
587,35380.epa.22.051.8106.68105,14.835714,5.172205,,,,,,,,,,,,,,,,,,,,,,
588,29180.epa.22.055.0006.68105,22.330952,6.941216,20.414407,6.82815,20.508547,7.1738219999999995,18.652427,8.395631999999999,6.884614999999999,5.265904,,,,,,,,,,,,,,
589,29180.epa.22.055.0007.68105,22.010389999999997,6.620057,19.913913,6.793791,19.861110999999998,7.07051,18.785,8.553248,19.528346,8.327283,21.292372999999998,6.051208,19.166667,7.530881,18.319834999999998,7.796341,20.282645,7.0648029999999995,21.422221999999998,7.054253,21.825225,6.621294,21.577686,7.8986019999999995
590,26380.epa.22.057.0004.88502,11.024443999999999,5.6272709999999995,9.70216,4.623908,8.044224999999999,3.604437,8.472493,4.015092,7.787534999999999,3.816019,7.33908,3.7803099999999996,6.445961,3.9508539999999996,6.734757999999999,3.102154,6.791549,3.39575,6.020809,2.582556,5.889863,3.4867459999999997,6.021246,2.883441
591,12940.epa.22.063.0002.88502,10.719888,5.304961,9.823599,5.660094,8.945428,4.097842,9.556322,8.524286,8.826087,4.373987,7.358166,3.4865709999999996,7.157617999999999,3.9375549999999997,10.628570999999999,3.738955,10.50084,3.96,9.861047,3.207834,9.250562,3.468794,9.113332999999999,4.2916419999999995
592,35380.epa.22.071.0012.88502,10.160896,5.212047999999999,9.578769,4.306829,9.089751,3.986858,9.303161,4.502073,8.66156,5.493442,9.963977,4.477412999999999,7.358073999999999,3.522388,7.615056999999999,3.435034,8.775,3.0737989999999997,9.386777,2.8568689999999997,9.468347,3.881529,9.492581999999999,4.22338
593,35380.epa.22.071.8105.68105,14.5857145,5.3766275,,,,,,,,,,,,,,,,,,,,,,
594,35380.epa.22.071.8106.68105,15.073333,4.919998,,,,,,,,,,,,,,,,,,,,,,
595,33740.epa.22.073.0004.68105,21.136471,7.494726,18.175221,8.015616,19.039167,7.859387,19.248571,9.638525999999999,21.024369999999998,9.277465,20.507627,7.487222,17.476923,8.918842999999999,17.570192,8.811675,19.578512,8.320128,20.094444,7.171536,19.536974999999998,7.427181999999999,18.97459,8.726198
596,10780.epa.22.079.0002.68105,21.051807,7.593825,19.878570999999997,7.262397999999999,19.84087,7.207402,18.972815999999998,8.609117,20.192562,8.355589,21.402459,6.843703,19.427559,7.578107999999999,18.576667,8.348912,19.95339,7.8391269999999995,22.093269,6.396984,21.406603999999998,7.110104,19.396667,7.95728
597,35380.epa.22.087.0007.68105,24.626828999999997,6.919719,21.865455,6.456585,22.86,6.914813,22.112000000000002,8.168897,23.145902,7.870781,24.265517,5.805549,23.137931,6.535647,20.082143,7.642182,21.645614,6.9432409999999996,21.912727,6.747757999999999,21.818644,6.218007,20.978689,7.951753
598,35380.epa.22.087.0007.88502,12.097199,6.001048,10.936231999999999,4.550267,10.941096,4.465768,12.367511333333333,4.517422333333333,12.733231499999999,5.679641,12.908889,5.728834,8.116964,4.5113959999999995,9.994486666666667,4.610193333333333,10.603197999999999,5.024258,8.360111999999999,3.321477,6.848198999999999,4.343546,9.535027999999999,4.616747
599,35380.epa.22.087.8103.68105,14.926667,4.921885,,,,,,,,,,,,,,,,,,,,,,
600,35380.epa.22.103.8400.68105,13.563635999999999,5.948659,,,,,,,,,,,,,,,,,,,,,,
601,25220.epa.22.105.0001.68105,20.637079,6.776771999999999,18.693913,6.792866,19.2136185,7.154914,17.635463,8.632121999999999,18.855635999999997,8.0387185,20.13393,6.328269499999999,18.6530975,6.757714,18.165079,7.842107499999999,19.970613999999998,6.9727455,20.35979,6.7158415,21.0590125,6.0539755,20.0353305,7.746389499999999
602,26380.epa.22.109.0001.68105,21.301175999999998,6.445199,20.588462,6.533993,20.736584999999998,6.419122,18.947059,8.391966,20.360163,7.268738,21.3225,5.831045,20.359828999999998,6.5309349999999995,19.487603,7.327273,21.204918,6.633597,21.123967,6.671544,21.324389999999998,6.268191,21.266393,6.997102
603,12940.epa.22.121.0001.88502,11.016102,5.241969,11.393084,5.0448059999999995,13.552692399999998,5.5587186,14.893056,6.064437,14.44497,6.020848,11.314416999999999,5.263547,7.893115,5.155463,9.681965333333334,5.0878413333333325,,,,,,,,
604,12940.epa.22.121.0001.68105,21.769721,7.270303999999999,20.896894,6.585426,21.138842999999998,7.205048,19.385714,8.377945,21.213449999999998,7.882476,22.45627,6.370214,20.372191,7.771496,20.226437,7.862393,21.173121,6.8596189999999995,20.17549,6.444392,21.523691,6.288843,21.119498999999998,7.552066
605,30340.epa.23.001.0011.68105,8.1578725,10.7784365,8.920189,9.935962499999999,7.482516499999999,10.0677995,10.287092,9.703841999999998,8.833504999999999,10.0713185,9.4574715,9.915514,8.84127,10.722112,8.9220285,10.905891,5.1473485,11.148871499999998,10.932651,10.187894,10.0616665,9.650237,8.815517,11.0491725
